"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-04-19","KALIMANTAN SELATAN","0-5",848
"2021-04-20","KALIMANTAN SELATAN","0-5",851
"2021-04-21","KALIMANTAN SELATAN","0-5",852
"2021-04-22","KALIMANTAN SELATAN","0-5",855
"2021-04-23","KALIMANTAN SELATAN","0-5",858
"2021-04-24","KALIMANTAN SELATAN","0-5",858
"2021-04-25","KALIMANTAN SELATAN","0-5",859
"2021-04-26","KALIMANTAN SELATAN","0-5",859
"2021-04-27","KALIMANTAN SELATAN","0-5",861
"2021-04-30","KALIMANTAN SELATAN","0-5",868
"2021-05-01","KALIMANTAN SELATAN","0-5",869
"2021-05-02","KALIMANTAN SELATAN","0-5",868
"2021-05-04","KALIMANTAN SELATAN","0-5",870
"2021-05-06","KALIMANTAN SELATAN","0-5",876
"2021-05-08","KALIMANTAN SELATAN","0-5",881
"2021-05-10","KALIMANTAN SELATAN","0-5",881
"2021-05-13","KALIMANTAN SELATAN","0-5",886
"2021-05-14","KALIMANTAN SELATAN","0-5",886
"2021-05-16","KALIMANTAN SELATAN","0-5",887
"2021-05-19","KALIMANTAN SELATAN","0-5",890
"2021-05-25","KALIMANTAN SELATAN","0-5",895
"2021-05-26","KALIMANTAN SELATAN","0-5",895
"2021-05-29","KALIMANTAN SELATAN","0-5",900
"2021-05-31","KALIMANTAN SELATAN","0-5",901
"2021-06-02","KALIMANTAN SELATAN","0-5",904
"2021-06-10","KALIMANTAN SELATAN","0-5",916
"2021-06-12","KALIMANTAN SELATAN","0-5",918
"2021-06-13","KALIMANTAN SELATAN","0-5",918
"2021-03-24","KALIMANTAN TENGAH","0-5",541
"2021-03-28","KALIMANTAN TENGAH","0-5",565
"2021-04-07","KALIMANTAN TENGAH","0-5",592
"2021-04-12","KALIMANTAN TENGAH","0-5",608
"2021-04-15","KALIMANTAN TENGAH","0-5",610
"2021-04-16","KALIMANTAN TENGAH","0-5",614
"2021-04-17","KALIMANTAN TENGAH","0-5",617
"2021-04-18","KALIMANTAN TENGAH","0-5",619
"2021-04-19","KALIMANTAN TENGAH","0-5",620
"2021-04-20","KALIMANTAN TENGAH","0-5",624
"2021-04-21","KALIMANTAN TENGAH","0-5",626
"2021-04-22","KALIMANTAN TENGAH","0-5",627
"2021-04-23","KALIMANTAN TENGAH","0-5",629
"2021-04-24","KALIMANTAN TENGAH","0-5",631
